Name,Segment,Current role,Geo,LinkedIn,Source,Why included,Conf.
Gabriel Poesia,Research,Kempner Institute / Harvard; incoming Michigan,Brazil / Harvard-affiliated,https://br.linkedin.com/in/gabriel-poesia-3590b191,https://verifai-workshop.github.io/speakers,Formal reasoning and self-improving AI systems,High
Matei Zaharia,Founder/Research,"CTO, Databricks; Professor, Berkeley","Berkeley, CA",https://www.linkedin.com/in/mateizaharia,https://ai-discovery-in-the-wild.github.io/,"Highly relevant for agent systems, infra, data+AI stack",High
Joseph Gonzalez,Founder/Research,"RunLLM; Associate Professor, Berkeley","Berkeley, CA",https://www.linkedin.com/in/profjoeyg,https://ai-discovery-in-the-wild.github.io/,Strong agent/product/infra crossover,High
Aidan Gomez,Founder/Research,"CEO, Cohere","Toronto, Ontario, Canada",https://ca.linkedin.com/in/aidangomez,https://www.linkedin.com/posts/cohere-ai_inside-the-paper-that-changed-ai-forever-activity-7336800183009103872-iG7L,Cohere founder with visible focus on enterprise and agentic AI,High
Nick Frosst,Founder/Research,"Co-founder, Cohere","Toronto, Ontario, Canada",https://ca.linkedin.com/in/nick-frosst-19b80463,https://www.linkedin.com/posts/cohere-ai_cohere-and-accenture-collaborate-to-accelerate-activity-7170888176788525056-nU2Z,Cohere co-founder; strong enterprise LLM and production AI signal,High
Raquel Urtasun,Founder/Research,"Founder & CEO, Waabi","Toronto, Ontario, Canada",https://ca.linkedin.com/in/raquel-urtasun-298400139,https://www.linkedin.com/company/waabi,Physical AI founder with reasoning/simulation-heavy AI systems work,High
Yoshua Bengio,Research,LawZero / Mila / Universite de Montreal,"Montreal, Quebec, Canada",https://ca.linkedin.com/in/yoshuabengio,https://agentwild-workshop.github.io/,Foundational AI researcher with current safety and responsible AI focus,High
Joelle Pineau,Research/Applied,McGill University; former Meta FAIR lead,"Montreal, Quebec, Canada",https://ca.linkedin.com/in/joelle-pineau-371574141,https://www.linkedin.com/posts/joelle-pineau-371574141_im-thrilled-to-be-joining-cohere-labs-connect-activity-7389039927512170496-BCk_,Senior AI researcher with direct Cohere Labs and open-science relevance,High
Sara Hooker,Founder/Research,"Co-founder, adaption",San Francisco Bay Area,https://www.linkedin.com/in/sararosehooker,https://www.linkedin.com/posts/sararosehooker_always-great-to-partner-with-hugging-face-activity-7450571165070422016-7OYF,Frontier AI founder focused on adaptive data and responsible AI,High
Kyunghyun Cho,Research,"Professor, New York University","New York, NY",https://www.linkedin.com/in/kyunghyun-cho-2171681b,https://www.linkedin.com/in/kyunghyun-cho-2171681b,Well-known LLM/NLP researcher with ongoing work in local and personalized inference,High
Shayne Longpre,Research,MIT-affiliated researcher,"Cambridge, MA",https://www.linkedin.com/in/shayne-redford-longpre,https://www.linkedin.com/in/shayne-redford-longpre,"Open LLM data, evaluation, and AI policy/research crossover",High
Bing Liu,Research/Applied,"Head of Research, Scale AI","Mountain View, CA",https://www.linkedin.com/in/vbingliu,https://www.linkedin.com/in/vbingliu,"Direct relevance to LLM post-training, evaluation, and coding agents",High
Yizhou Sun,Research,"Professor, UCLA","Los Angeles, CA",https://www.linkedin.com/in/yizhou-sun-56109b75,https://www.linkedin.com/in/yizhou-sun-56109b75,"Active in agentic RL, coordinated agents, and AI systems research",High
Effy Li,Research,"PhD student in NLP, University of Amsterdam / CWI","Amsterdam, Netherlands",https://nl.linkedin.com/in/effy-li,https://nl.linkedin.com/in/effy-li,European NLP researcher; useful for balancing geography and academic profile mix,Medium
Kidist Amde Mekonnen,Research,"PhD researcher, University of Amsterdam","Amsterdam, Netherlands",https://nl.linkedin.com/in/kidistamde,https://nl.linkedin.com/in/kidistamde,Works on generative search and low-resource multilingual retrieval,High
Zhi_Hao Ong,Applied Eng,"AI Engineer, AI Singapore",Singapore,https://sg.linkedin.com/in/zhi-hao-ong,https://sg.linkedin.com/in/zhi-hao-ong,National AI program practitioner with hands-on LLM engineering signal,High
Xiangming Gu,Research,"Research Scientist, Google DeepMind",Singapore,https://sg.linkedin.com/in/xiangming-gu,https://sg.linkedin.com/in/xiangming-gu,Singapore-based frontier-model researcher; helps APAC balance,High
Chun Ye Tan,Applied Eng,AI Engineer,Singapore,https://sg.linkedin.com/in/chun-ye-tan,https://sg.linkedin.com/in/chun-ye-tan,Practical AI engineer with explicit agent tooling and applied systems signal,Medium
YuXuan Tay,Applied Eng,"AI Engineer, GovTech Singapore",Singapore,https://sg.linkedin.com/in/yxtay,https://sg.linkedin.com/in/yxtay,Public-sector AI engineer with visible interest in local and personal agents,High
Ananya Sahu,Research,Cohere,"Hopewell Junction, NY",https://www.linkedin.com/in/ananya-sahu-3920031b5,https://www.linkedin.com/in/ananya-sahu-3920031b5,Visible Cohere/Cohere Labs multilingual and model-merging research signal,Medium
Thomas Euyang,Applied/Design,Cohere,"San Francisco, CA",https://www.linkedin.com/in/thomaseuyang,https://www.linkedin.com/in/thomaseuyang,Useful edge-case target: production-facing AI communicator close to Cohere Labs launches,Low
Dawn Song,Research/Founder,UC Berkeley,United States,https://www.linkedin.com/in/dawn-song-51586033,https://www.linkedin.com/in/dawn-song-51586033,"Major voice in agent security, benchmarking, and safety-oriented agent systems",High
Dan Hendrycks,Research/Safety,xAI,"San Francisco, CA",https://www.linkedin.com/in/dan-hendrycks-04062395,https://www.linkedin.com/in/dan-hendrycks-04062395,"Direct relevance to AI safety, robustness, and frontier-model evaluation",High
Eric Wallace,Research,OpenAI,"San Francisco, CA",https://www.linkedin.com/in/ericswallace,https://www.linkedin.com/in/ericswallace,OpenAI researcher with relevance to agent robustness and evaluation,High
Ce Zhang,Founder/Research,"CTO, Together","San Francisco, CA",https://www.linkedin.com/in/ce-zhang-6aa37419,https://www.linkedin.com/in/ce-zhang-6aa37419,Strong infra-plus-agents profile through Together and large-scale serving research,High
Jiantao Jiao,Research,NVIDIA / UC Berkeley,"Berkeley, CA",https://www.linkedin.com/in/prof-jiantao-jiao,https://www.linkedin.com/in/prof-jiantao-jiao,"Works directly on open models, LLM research, and frontier training/data topics",High
Xinyun Chen,Research,Meta Superintelligence Labs,"Mountain View, CA",https://www.linkedin.com/in/xinyun-chen-b4ab79172,https://www.linkedin.com/in/xinyun-chen-b4ab79172,Frontier multimodal and reasoning-agent researcher with recent superintelligence lab signal,High
Aston Zhang,Research,OpenAI,"Palo Alto, CA",https://www.linkedin.com/in/astonzhang,https://www.linkedin.com/in/astonzhang,"Relevant for frontier model capability, multilinguality, tool use, and scaling work",High
Chenguang Wang,Research/Security,UC Santa Cruz,"Santa Cruz, CA",https://www.linkedin.com/in/chenguang-ray-wang,https://www.linkedin.com/in/chenguang-ray-wang,Organizer and researcher focused on secure AI agents and memory mechanisms,High
Yiyou Sun,Research,"Postdoctoral researcher, UC Berkeley","Emeryville, CA",https://www.linkedin.com/in/yiyou-sun-2698b0102,https://www.linkedin.com/in/yiyou-sun-2698b0102,"Good fit for agent reasoning, hallucination, and RL-related systems research",High
Cong Lu,Research,"Research Scientist, Google DeepMind","London, England, United Kingdom",https://uk.linkedin.com/in/cong-lu-ml,https://www.linkedin.com/posts/cong-lu-530b74104_are-you-interested-in-open-endedness-and-activity-7393975753001881600-GESD,Open-endedness and AI-for-science researcher directly hiring for agents capable of scientific discovery,High
Ioannis Mesionis,Applied Eng,"Senior AI/ML Engineer, King","London Area, United Kingdom",https://uk.linkedin.com/in/ioannis-mesionis,https://www.linkedin.com/posts/brainstation_ai-evenings-ldn-ai-agents-in-action-activity-7437545322547048449-whRN,"Applied AI engineer with explicit public work on agentic systems, tool use, memory, and production AI",High
Shashi Jagtap,Founder/Infra,"Founder, Superagentic AI","London, England, United Kingdom",https://uk.linkedin.com/in/shashikantjagtap,https://www.linkedin.com/company/superagenticai,Useful agent-infra target through London agent engineering community and framework interoperability work,High
Petar Veličković,Research,"Research Scientist, Google DeepMind","London Area, United Kingdom",https://uk.linkedin.com/in/petarvelickovic,https://uk.linkedin.com/in/petarvelickovic,"Strong fit for reasoning, structure, planning, and advanced model research in the London cluster",High
Matej Jusup,Research,"Researcher, ETH Zurich","Zurich, Switzerland",https://ch.linkedin.com/in/matej-jusup,https://ch.linkedin.com/in/matej-jusup,Relevant for planning and reasoning in language-model-based agents through game and search research,High
Bhada Yun,Research/HCI,"Researcher, ETH Zurich","Zurich, Switzerland",https://ch.linkedin.com/in/bhadayun,https://ch.linkedin.com/in/bhadayun,"Good complement to core LLM profiles via work on human values, conversational AI, and user perception of models",High
See-Kiong Ng,Research/Exec,AI Singapore,Singapore,https://sg.linkedin.com/in/seekiong,https://sg.linkedin.com/in/seekiong,"Senior APAC research-and-execution profile spanning multilingual AI, NUS, and AI Singapore ecosystems",High
Siva Reddy,Research,"Core Academic Member, Mila","Montreal, Quebec, Canada",https://ca.linkedin.com/in/sivareddyg,https://ca.linkedin.com/in/sivareddyg,Important Montreal NLP/ML researcher with direct Mila signal and strong academic-industry crossover,High
Laurent Charlin,Research,HEC Montreal / Mila,"Montreal, Quebec, Canada",https://ca.linkedin.com/in/laurent-charlin-5aaa941,https://ca.linkedin.com/in/laurent-charlin-5aaa941,Strong Canada balancing profile with active Mila leadership and applied ML research presence,High
Michael Rabbat,Founder/Research,"Founder, AMI - Advanced Machine Intelligence","Montreal, Quebec, Canada",https://ca.linkedin.com/in/michael-rabbat-66a00b7,https://ca.linkedin.com/in/michael-rabbat-66a00b7,"Good venture-scientist target bridging frontier research, startup execution, and the Montreal ecosystem",High
Hugo Larochelle,Research/Leadership,"Scientific Director, Mila","Montreal, Quebec, Canada",https://ca.linkedin.com/in/hugolarochelle,https://ca.linkedin.com/in/hugolarochelle,"High-signal Canadian research leader with strong relevance to generative AI, scientific direction, and ecosystem building",High
Clem Delangue,Founder/Infra,"Co-founder & CEO, Hugging Face",Greater New York City Area,https://www.linkedin.com/in/clementdelangue,https://www.linkedin.com/in/clementdelangue,Important open-models and tooling profile for the infra/open-source side of the target audience,High
Loubna Ben Allal,Research/Eng,"Machine Learning Engineer, Hugging Face","Paris, France",https://www.linkedin.com/in/loubna-ben-allal-238690152,https://www.linkedin.com/posts/loubna-ben-allal-238690152_introducing-%F0%9D%90%85%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%8C%F0%9D%90%9A%F0%9D%90%AD%F0%9D%90%A1-%F0%9D%90%AD%F0%9D%90%A1%F0%9D%90%9E-%F0%9D%90%9B-activity-7275539964132483073-O757,Open-model and code-LLM builder with strong Paris/open-source relevance for the European slice,Medium
Arthur Mensch,Founder/Research,"Co-founder & CEO, Mistral AI","Paris, France",https://fr.linkedin.com/in/arthur-mensch,https://fr.linkedin.com/in/arthur-mensch,"High-signal European founder-researcher for sovereign AI, open models, and enterprise deployment in the Paris cluster",High
Yasser Jadidi,Research/Leadership,"Co-Chief Research Officer, Aleph Alpha","Heidelberg, Baden-Württemberg, Germany",https://de.linkedin.com/in/yasser-jadidi-795139188,https://de.linkedin.com/in/yasser-jadidi-795139188,Direct sovereign-AI and large-scale model research signal in the German enterprise and public-sector cluster,High
Neil Jabri,Applied/Delivery,"AI product and delivery leader, Aleph Alpha","Tairnbach, Baden-Württemberg, Germany",https://de.linkedin.com/in/njabri,https://de.linkedin.com/in/njabri,Useful applied target on the deployment side of sovereign AI systems rather than purely academic model work,Medium
Lukas Balles,Research,Bioptimus; former Aleph Alpha,"Heidelberg, Baden-Württemberg, Germany",https://de.linkedin.com/in/lballes,https://www.linkedin.com/posts/ai-world-eu_daily-startup-spotlight-aleph-alpha-as-activity-7308517683572977665-RF-c,Good Germany balancing profile with direct LLM research lineage through Aleph Alpha and frontier-model work,Medium
Andreas Krause,Research/Leadership,"Professor, ETH AI Center","Zurich, Switzerland",https://ch.linkedin.com/in/krausea,https://ch.linkedin.com/in/krausea,"High-value Swiss research lead with active work spanning adaptive systems, AI for science, and agent-adjacent decision making",High
Sebastian Riedel,Research/Founder,"VP of AI, Meta; Professor, UCL","London, England, United Kingdom",https://uk.linkedin.com/in/sebastian-riedel-7908865,https://www.ucl.ac.uk/ai-centre/sebastian-riedel,Leads NLP and knowledge-base research at UCL and Meta FAIR London; co-created FactCC and works on factual grounding in LLMs,High
Pontus Stenetorp,Research,"Associate Professor, UCL NLP","London, England, United Kingdom",https://uk.linkedin.com/in/pontus-stenetorp-4865564,https://pontus.stenetorp.se/,"Core UCL NLP researcher working on evaluation, annotation, and factuality in language models",High
Edoardo Ponti,Research,"Assistant Professor, University of Edinburgh","Edinburgh, Scotland, United Kingdom",https://uk.linkedin.com/in/edoardo-ponti,https://www.ed.ac.uk/informatics/people,"Edinburgh NLP researcher focused on multilingual LLMs, parameter-efficient fine-tuning, and cross-lingual transfer",High
Pasquale Minervini,Research,"Assistant Professor, University of Edinburgh","Edinburgh, Scotland, United Kingdom",https://uk.linkedin.com/in/pasqualeminervini,https://neuralnoise.com/,"Works on reasoning, knowledge-grounded generation, and neuro-symbolic methods for LLMs at Edinburgh",High
Alistair Letcher,Research,"Research Scientist, Google DeepMind","London, England, United Kingdom",https://uk.linkedin.com/in/alistair-letcher,https://uk.linkedin.com/in/alistair-letcher,Works on mathematical foundations of optimization in deep learning and agent training at DeepMind London,Medium
Iryna Gurevych,Research/Leadership,"Professor, TU Darmstadt; Director, UKP Lab","Darmstadt, Hessen, Germany",https://de.linkedin.com/in/iryna-gurevych-a534b237,https://www.informatik.tu-darmstadt.de/ukp/ukp_home/head_ukp/index.en.jsp,"Runs one of the largest NLP labs in Europe; pioneering work on argument mining, fact verification, and LLM evaluation",High
Jonas Geiping,Research,"Research Group Leader, ELLIS Institute / MPI-IS Tuebingen","Tuebingen, Baden-Württemberg, Germany",https://de.linkedin.com/in/jonas-geiping,https://jonasgeiping.github.io/,"Works on data poisoning, model security, and efficient training for large models; rising German AI security researcher",High
Hinrich Schütze,Research,"Professor, LMU Munich / CIS","Munich, Bavaria, Germany",https://de.linkedin.com/in/hinrich-schuetze,https://www.cis.uni-muenchen.de/schuetze/,"Senior NLP researcher at LMU; work on multilingual models, prompting, and in-context learning evaluation",High
Barbara Plank,Research,"Professor, LMU Munich","Munich, Bavaria, Germany",https://de.linkedin.com/in/barbara-plank,https://bplank.github.io/,"Expert in NLP robustness, annotation, and low-resource language modeling; ELLIS fellow and strong European NLP voice",High
Thomas Wolf,Founder/Infra,"Co-founder & CSO, Hugging Face","Paris, France",https://fr.linkedin.com/in/thomas-wolf-a056857,https://huggingface.co/thomwolf,Architect of the Transformers library and open-model ecosystem; direct relevance to open-source LLM infra,High
François Lagunas,Research/Eng,"Machine Learning Engineer, Hugging Face","Paris, France",https://fr.linkedin.com/in/francois-lagunas,https://huggingface.co/fxmarty,"Works on model optimization, quantization, and inference efficiency at HF; practical open-model engineering",Medium
Patrick Fernandes,Research,"Postdoc, INRIA Paris / Instituto Superior Tecnico","Paris, France",https://fr.linkedin.com/in/patrick-fernandes,https://www.patrickfernandes.in/,"Works on evaluation metrics for generation, LLM alignment, and structured prediction; European postdoc diversification",Medium
Tatsuya Harada,Research,"Professor, University of Tokyo; RIKEN AIP","Tokyo, Japan",https://jp.linkedin.com/in/tatsuya-harada-78429945,https://www.mi.t.u-tokyo.ac.jp/harada/,Leading Japanese vision-language researcher with work on multimodal reasoning and generative models,High
Yuki Arase,Research,"Associate Professor, Osaka University / Tokyo Institute of Technology","Osaka, Japan",https://jp.linkedin.com/in/yuki-arase,https://yukiar.github.io/,"Japanese NLP researcher working on paraphrase, simplification, and LLM evaluation for non-English languages",Medium
Hwee Tou Ng,Research,"Provost's Chair Professor, National University of Singapore",Singapore,https://sg.linkedin.com/in/hwee-tou-ng,https://www.comp.nus.edu.sg/~nght/,"Senior Singapore NLP researcher; work on grammatical error correction, machine translation, and text generation evaluation",High
Jing Jiang,Research,"Professor, Singapore Management University",Singapore,https://sg.linkedin.com/in/jing-jiang-84a16b18,https://www.smu.edu.sg/faculty/profile/9621/Jing-JIANG,Text mining and NLP researcher in Singapore; work on few-shot learning and information extraction with LLMs,Medium
Sung Kim,Research/Founder,"Professor, KAIST; Founder, Upstage","Seoul, South Korea",https://kr.linkedin.com/in/sungkim,https://www.upstage.ai/,Runs Upstage (Solar LLM) and teaches at KAIST; strong signal in open-source LLMs and Korean AI ecosystem,High
Pascale Fung,Research/Leadership,"Professor, HKUST; Director, Centre for AI Research",Hong Kong,https://hk.linkedin.com/in/pascale-fung-98874,https://pascale.home.ece.ust.hk/,Leading conversational AI and multilingual NLP researcher in Hong Kong; strong agent and dialogue systems work,High
Jimmy Ba,Research,"Assistant Professor, University of Toronto","Toronto, Ontario, Canada",https://ca.linkedin.com/in/jimmy-ba-50b6a477,https://jimmylba.github.io/,Co-inventor of Layer Normalization and Adam optimizer; current work on meta-learning and LLM training dynamics,High
Alec Jacobson,Research/Founder,"Professor, University of Toronto; Founder, Tur","Toronto, Ontario, Canada",https://ca.linkedin.com/in/alikimiaj,https://www.cs.toronto.edu/~jacobson/,Geometry processing researcher now applying ML/generative methods; diversifies Canada beyond NLP-only,Low
Jackie Cheung,Research,"Associate Professor, McGill; Core Academic Member, Mila","Montreal, Quebec, Canada",https://ca.linkedin.com/in/jackie-chi-kit-cheung-28890420,https://www.cs.mcgill.ca/~jcheung/,NLG and summarization researcher; Canada AI research chair with work on controllable text generation,High
Lili Mou,Research,"Assistant Professor, University of Alberta","Edmonton, Alberta, Canada",https://ca.linkedin.com/in/lili-mou,https://lili-mou.github.io/,"Diversifies Canada geography to Alberta; works on code generation, text generation, and structured reasoning with LLMs",High
Simon Willison,Applied Eng/Infra,Independent developer; creator of Datasette and LLM tooling,"El Cerrito, CA",https://www.linkedin.com/in/simonwillison,https://simonwillison.net/,"Prolific open-source LLM tooling builder; llm CLI, datasette-llm; high-visibility practitioner in agent/tool-use space",High
Harrison Chase,Founder/Infra,"Co-founder & CEO, LangChain","San Francisco, CA",https://www.linkedin.com/in/harrison-chase-961287118,https://www.langchain.com/,Core agent-framework founder; LangChain/LangGraph are central to the agent tooling ecosystem,High
Jerry Liu,Founder/Infra,"Co-founder & CEO, LlamaIndex","San Francisco, CA",https://www.linkedin.com/in/jerry-liu-64390071,https://www.llamaindex.ai/,Founded the dominant RAG/agent-data framework; direct relevance to retrieval-augmented agents and tool use,High
Shreya Shankar,Research/Eng,"PhD student, UC Berkeley; creator of DocETL","Berkeley, CA",https://www.linkedin.com/in/shreya-shankar,https://www.shreya-shankar.com/,Builds practical LLM pipeline tooling (DocETL); bridges research and applied LLM engineering for data workflows,High
Hamel Husain,Applied Eng,"Independent ML/LLM consultant; prev. GitHub, Airbnb","San Francisco, CA",https://www.linkedin.com/in/hamelhusain,https://hamel.dev/,Hands-on LLM evaluation and fine-tuning practitioner; high-visibility blog and open-source contributions on practical LLM ops,High
Eugene Yan,Applied Eng,"Senior Applied Scientist, Amazon",Singapore,https://sg.linkedin.com/in/eugeneyan,https://eugeneyan.com/,"Writes extensively on production LLM systems, evaluation, and retrieval; APAC-based applied scientist with strong public signal",High
Chip Huyen,Founder/Infra,"Co-founder, Claypot AI","San Francisco, CA",https://www.linkedin.com/in/chiphuyen,https://huyenchip.com/,Author of ML systems design book; practical MLOps and real-time ML infrastructure expertise,High
Alexander Rush,Research,"Associate Professor, Cornell; Researcher, Hugging Face","Ithaca, NY",https://www.linkedin.com/in/alexander-rush-b3a77a35,https://rush-nlp.com/,"Prolific NLP researcher; work on efficient transformers, structured generation, and open model tooling",High
Ivan Googol Vulic,Research,"Senior Lecturer, University of Cambridge","Cambridge, England, United Kingdom",https://uk.linkedin.com/in/ivan-vulic,https://sites.google.com/site/iaborsky/,Cambridge NLP researcher specializing in multilingual and cross-lingual representation learning for LLMs,Medium
Yoav Goldberg,Research,"Professor, Bar-Ilan University; Research Director, AI21 Labs","Tel Aviv, Israel",https://il.linkedin.com/in/yoav-goldberg-73a2086,https://u.cs.biu.ac.il/~yogo/,"Core NLP researcher bridging academia and industry at AI21; work on LLM analysis, faithfulness, and evaluation",High
Mrinmaya Sachan,Research,"Assistant Professor, ETH Zurich","Zurich, Switzerland",https://ch.linkedin.com/in/mrinmaya-sachan,https://www.mrinmaya.io/,"ETH researcher on reasoning, question answering, and educational applications of LLMs; diversifies Swiss cluster beyond optimization",High
Ryan Cotterell,Research,"Assistant Professor, ETH Zurich","Zurich, Switzerland",https://ch.linkedin.com/in/ryancotterell,https://rycolab.io/,Formal language theory applied to neural models; information-theoretic analysis of LLMs at ETH,High
Timothy Baldwin,Research/Leadership,"Provost, MBZUAI; Professor, University of Melbourne","Melbourne, Australia / Abu Dhabi, UAE",https://au.linkedin.com/in/timothy-baldwin-2703925,https://mbzuai.ac.ae/,Senior NLP researcher now leading MBZUAI; bridges Australian and Middle East AI research ecosystems,High
Diyi Yang,Research,"Assistant Professor, Stanford","Stanford, CA",https://www.linkedin.com/in/diyi-yang-a9a94967,https://cs.stanford.edu/~diyiy/,"Works on human-AI interaction, social NLP, and LLM alignment; active in agent communication research",High
Kentaro Inui,Research/Leadership,"Professor, Tohoku University; RIKEN AIP","Sendai, Japan",https://jp.linkedin.com/in/kentaro-inui,https://www.nlp.ecei.tohoku.ac.jp/,"Leads one of Japan's top NLP labs; work on entailment, factuality, and text generation evaluation",High
Kyungjae Lee,Research,"Research Scientist, NAVER AI Lab","Seongnam, South Korea",https://kr.linkedin.com/in/kyungjae-lee,https://clova.ai/,NAVER/CLOVA researcher working on retrieval-augmented generation and conversational AI systems,Medium
Jungo Kasai,Research,"Research Scientist, NVIDIA","Tokyo, Japan",https://jp.linkedin.com/in/jungo-kasai,https://jungokasai.github.io/,"Works on efficient generation, speculative decoding, and multilingual LLM evaluation; Japan-based diversification",High
Jey Han Lau,Research,"Senior Lecturer, University of Melbourne","Melbourne, Australia",https://au.linkedin.com/in/jey-han-lau,https://jeyhan.my/,"Australian NLP researcher; work on text generation evaluation, topic models, and language model analysis",High
Qi Zhang,Research,"Professor, Fudan University","Shanghai, China",https://cn.linkedin.com/in/qi-zhang-fudan,https://qizhang.info/,"Leads NLP group at Fudan; work on text generation, knowledge-enhanced LLMs, and Chinese language models",Medium
Partha Talukdar,Research/Leadership,"Research Director, Google DeepMind; Professor, IISc Bangalore","Bangalore, India",https://in.linkedin.com/in/partha-talukdar,https://parthatalukdar.github.io/,"Leads Google DeepMind efforts in India; works on knowledge graphs, multilingual NLP, and LLM grounding",High
Mitesh Khapra,Research/Founder,"Professor, IIT Madras; Co-founder, AI4Bharat","Chennai, India",https://in.linkedin.com/in/mitaborasbora,https://ai4bharat.iitm.ac.in/,Builds open-source multilingual LLMs for Indian languages; strong open-model and low-resource signal,High
Mirella Lapata,Research,"Professor, University of Edinburgh","Edinburgh, Scotland, United Kingdom",https://uk.linkedin.com/in/mirella-lapata,https://homepages.inf.ed.ac.uk/mlap/,"Senior Edinburgh NLP researcher; work on summarization, generation, and structured reasoning with language models",High
Ed Grefenstette,Research,"Research Scientist, Cohere; prev. Meta FAIR, DeepMind","London, England, United Kingdom",https://uk.linkedin.com/in/edgrefenstette,https://uk.linkedin.com/in/edgrefenstette,Experienced industry researcher now at Cohere with deep background in grounded language understanding and RL for NLP,High
Phil Blunsom,Research/Founder,"Co-founder, Dark Blue Labs (acq. by DeepMind); Professor, Oxford","Oxford, England, United Kingdom",https://uk.linkedin.com/in/phil-blunsom,https://www.cs.ox.ac.uk/people/phil.blunsom/,Oxford NLP professor with DeepMind background; work on neural machine translation and compositional semantics,High
